repetition,algorithm,k,total time
5,1D,128,6.086
2,1D,1024,95.022
1,1D,128,6.094
1,2D,64,1.663
3,2D,1024,2.034
5,2D,128,1.627
2,2D,512,1.893
3,2D,128,1.656
5,2D,512,1.773
3,2D,256,1.733
2,2D,128,1.598
2,2D,64,1.711
2,2D,1024,2.105
4,1D,512,35.298
4,1D,128,6.143
1,2D,1024,2.118
5,2D,256,1.741
1,1D,1024,95.339
4,1D,256,15.393
5,1D,1024,96.201
5,2D,1024,2.046
2,1D,64,3.890
4,2D,128,1.607
5,1D,64,3.887
1,2D,128,1.658
4,2D,512,1.787
3,2D,64,1.710
5,1D,512,35.894
1,2D,256,1.823
3,2D,512,1.908
3,1D,1024,95.790
1,2D,512,1.829
3,1D,256,15.276
3,1D,512,36.109
2,1D,128,6.101
4,2D,1024,2.061
2,1D,256,15.233
2,2D,256,1.793
5,2D,64,1.636
2,1D,512,35.443
1,1D,64,4.040
3,1D,64,3.738
4,2D,64,1.662
5,1D,256,15.402
4,1D,64,3.608
4,1D,1024,95.937
3,1D,128,6.106
4,2D,256,1.821
