repetition,algorithm,k,total time
5,1D,128,7.223
2,1D,1024,143.454
1,1D,128,7.129
1,2D,64,1.264
3,2D,1024,1.986
5,2D,128,1.196
2,2D,512,1.582
3,2D,128,1.264
5,2D,512,1.599
3,2D,256,1.434
2,2D,128,1.219
2,2D,64,1.170
2,2D,1024,1.992
4,1D,512,42.674
4,1D,128,7.190
1,2D,1024,2.004
5,2D,256,1.494
1,1D,1024,143.909
1,1D,512,42.547
4,1D,256,18.650
5,1D,1024,143.892
1,1D,256,18.944
5,2D,1024,1.993
2,1D,64,4.346
4,2D,128,1.235
5,1D,64,4.476
1,2D,128,1.258
4,2D,512,1.542
3,2D,64,1.204
5,1D,512,42.131
1,2D,256,1.477
3,2D,512,1.521
3,1D,1024,142.897
1,2D,512,1.546
3,1D,256,18.569
2,1D,128,7.139
4,2D,1024,1.926
2,1D,256,18.689
2,2D,256,1.434
5,2D,64,1.239
2,1D,512,42.068
1,1D,64,4.334
3,1D,64,4.371
4,2D,64,1.218
5,1D,256,18.556
3,1D,128,7.198
4,2D,256,1.415
