nodes,cores,repetition,kloops_time,matrixGen_time
4,768,5,0.124,0.184
1,96,4,0.019,1.017
4,768,2,0.127,0.171
1,96,1,0.019,1.011
2,384,4,0.059,0.301
1,24,1,0.024,5.209
3,576,5,0.08,0.203
3,576,3,0.085,0.203
1,192,1,0.032,0.577
1,24,3,0.025,5.19
1,192,2,0.03,0.613
1,24,4,0.029,5.222
1,96,3,0.021,1.057
4,768,1,0.134,0.175
3,576,1,0.077,0.197
2,384,1,0.051,0.313
3,576,4,0.084,0.205
1,96,2,0.02,1.018
1,48,3,0.024,2.394
4,768,3,0.12,0.187
1,48,4,0.021,2.391
1,192,4,0.03,0.621
4,768,4,0.13,0.174
1,192,5,0.03,0.548
2,384,5,0.05,0.276
1,48,1,0.025,2.374
1,192,3,0.031,0.547
1,24,2,0.024,5.163
1,48,5,0.022,2.361
1,96,5,0.02,1.082
2,384,2,0.056,0.272
2,384,3,0.047,0.275
1,48,2,0.028,2.39
3,576,2,0.088,0.195
1,24,5,0.026,5.155
