nodes,cores,repetition,algorithm,total time,generateRR time,selectseeds time
1,48,5,1D,42.046,0.844,41.198
4,768,5,2D,1.661,1.348,0.310
1,24,1,1D,88.230,2.000,86.227
1,192,5,1D,10.586,0.544,10.038
2,384,3,1D,6.831,0.399,6.422
1,48,3,1D,41.941,0.836,41.104
2,384,4,1D,6.785,0.406,6.378
2,384,5,1D,6.706,0.390,6.315
3,576,1,1D,5.672,0.562,5.099
4,768,5,1D,5.821,0.843,4.977
1,96,4,2D,1.664,0.609,1.048
4,768,2,2D,1.732,1.429,0.300
3,576,5,1D,5.752,0.524,5.227
1,96,1,2D,1.683,0.629,1.045
2,384,4,2D,1.119,0.750,0.364
1,24,5,1D,88.389,1.994,86.393
1,48,1,1D,41.946,0.822,41.119
1,48,4,1D,41.837,0.835,41.001
1,24,1,2D,7.478,2.183,5.275
3,576,5,2D,1.348,1.057,0.286
3,576,3,2D,1.394,1.087,0.295
1,192,1,2D,1.470,0.845,0.616
1,24,3,2D,7.493,2.211,5.266
1,96,1,1D,19.564,0.450,19.112
1,24,3,1D,88.352,2.023,86.328
1,192,2,2D,1.477,0.818,0.650
1,24,4,2D,7.519,2.205,5.297
1,24,2,1D,88.422,1.990,86.429
1,96,3,2D,1.738,0.641,1.090
4,768,1,2D,1.739,1.425,0.312
3,576,1,2D,1.417,1.136,0.276
1,96,4,1D,19.689,0.454,19.235
2,384,1,2D,1.109,0.736,0.368
1,96,3,1D,19.455,0.447,19.002
4,768,1,1D,5.876,0.804,5.071
3,576,4,2D,1.424,1.128,0.292
1,96,2,1D,19.700,0.462,19.238
3,576,3,1D,5.639,0.532,5.106
1,96,2,2D,1.671,0.614,1.050
1,48,3,2D,3.470,1.021,2.439
4,768,3,1D,5.778,0.740,5.038
4,768,4,1D,5.790,0.807,4.982
1,192,1,1D,10.563,0.544,10.019
4,768,3,2D,1.695,1.382,0.310
1,24,4,1D,88.405,1.997,86.404
1,48,4,2D,3.477,1.030,2.434
1,192,4,2D,1.495,0.830,0.657
4,768,4,2D,1.699,1.390,0.307
1,48,2,1D,41.888,0.832,41.056
4,768,2,1D,5.744,0.908,4.836
1,192,5,2D,1.434,0.839,0.586
2,384,5,2D,1.031,0.696,0.329
1,48,1,2D,3.456,1.029,2.419
1,192,2,1D,10.523,0.537,9.985
1,192,3,2D,1.413,0.819,0.585
1,24,2,2D,7.450,2.199,5.239
1,48,5,2D,3.431,1.014,2.404
2,384,2,1D,6.824,0.402,6.422
1,192,3,1D,10.543,0.544,9.995
3,576,2,1D,5.623,0.545,5.077
3,576,4,1D,5.737,0.581,5.155
1,96,5,2D,1.751,0.626,1.116
2,384,2,2D,1.073,0.736,0.331
2,384,1,1D,6.926,0.405,6.509
1,96,5,1D,19.742,0.463,19.273
2,384,3,2D,1.057,0.725,0.325
1,48,2,2D,3.474,1.024,2.439
1,192,4,1D,10.511,0.537,9.974
3,576,2,2D,1.327,1.037,0.286
1,24,5,2D,7.447,2.207,5.222
