nodes,cores,repetition,algorithm,total time,generateRR time,selectseeds time
1,48,5,1D,2.276,0.077,2.197
4,768,5,2D,2.299,2.080,0.218
1,24,1,1D,4.060,0.068,3.992
1,192,5,1D,0.998,0.148,0.850
2,384,3,1D,2.258,0.227,2.031
1,48,3,1D,2.276,0.078,2.197
2,384,4,1D,2.093,0.265,1.822
2,384,5,1D,1.935,0.222,1.707
3,576,1,1D,1.967,0.458,1.509
4,768,5,1D,2.340,0.716,1.624
1,96,4,2D,0.438,0.225,0.211
4,768,2,2D,1.826,1.643,0.182
3,576,5,1D,1.841,0.380,1.459
1,96,1,2D,0.278,0.163,0.113
2,384,4,2D,0.484,0.393,0.088
1,24,5,1D,4.105,0.067,4.036
1,48,1,1D,2.245,0.079,2.165
1,48,4,1D,2.269,0.077,2.191
1,24,1,2D,0.502,0.095,0.405
3,576,5,2D,1.137,1.001,0.134
3,576,3,2D,1.194,1.046,0.146
1,192,1,2D,0.561,0.384,0.175
1,24,3,2D,0.514,0.093,0.418
1,96,1,1D,1.388,0.100,1.284
1,24,3,1D,4.086,0.067,4.018
1,192,2,2D,0.592,0.392,0.198
1,24,4,2D,0.511,0.092,0.416
1,24,2,1D,4.054,0.068,3.985
1,96,3,2D,0.242,0.152,0.088
4,768,1,2D,2.184,1.992,0.188
3,576,1,2D,1.128,1.000,0.125
1,96,4,1D,1.642,0.118,1.520
2,384,1,2D,0.546,0.447,0.092
1,96,3,1D,1.633,0.129,1.504
4,768,1,1D,2.409,0.791,1.618
3,576,4,2D,1.146,0.998,0.146
1,96,2,1D,1.570,0.109,1.462
3,576,3,1D,1.851,0.385,1.466
1,96,2,2D,0.309,0.180,0.126
1,48,3,2D,0.380,0.152,0.226
4,768,3,1D,2.277,0.715,1.562
4,768,4,1D,2.370,0.745,1.625
1,192,1,1D,1.468,0.172,1.296
4,768,3,2D,1.667,1.488,0.179
1,24,4,1D,4.079,0.067,4.012
1,48,4,2D,0.381,0.148,0.230
1,192,4,2D,0.488,0.331,0.155
4,768,4,2D,1.664,1.481,0.182
1,48,2,1D,2.243,0.078,2.163
4,768,2,1D,2.338,0.752,1.586
1,192,5,2D,0.631,0.410,0.219
2,384,5,2D,0.571,0.466,0.099
1,48,1,2D,0.377,0.145,0.229
1,192,2,1D,1.416,0.179,1.237
1,192,3,2D,0.670,0.438,0.229
1,24,2,2D,0.532,0.097,0.432
1,48,5,2D,0.388,0.145,0.241
2,384,2,1D,1.908,0.228,1.680
1,192,3,1D,1.093,0.169,0.924
3,576,2,1D,1.858,0.368,1.490
3,576,4,1D,2.190,0.404,1.786
1,96,5,2D,0.343,0.190,0.149
2,384,2,2D,0.566,0.467,0.097
2,384,1,1D,2.037,0.256,1.781
1,96,5,1D,1.375,0.104,1.270
2,384,3,2D,0.586,0.487,0.097
1,48,2,2D,0.373,0.141,0.229
1,192,4,1D,1.205,0.170,1.034
3,576,2,2D,1.174,1.033,0.139
1,24,5,2D,0.516,0.097,0.416
